feature_en,label_vi,keywords_vi,mapping_source
"Abdominal or back pain, unexplained weight loss, hormonal imbalances","Abdominal or back pain, unexplained weight loss, hormonal imbalances",,unmapped
abdominal pain,Đau bụng,đau bụng; bụng đau; đau vùng bụng; đau quặn bụng; bụng đau quặn; nhức bụng,manual+auto
"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy","Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ercp) with stone removal, sphincterotomy, cholecystectomy",,unmapped
"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract",,unmapped
"Abdominal pain, bloating, changes in bowel movements","Abdominal pain, bloating, changes in bowel movements",,unmapped
"Abdominal pain, bloating, heartburn, nausea, acidic taste","Abdominal pain, bloating, heartburn, nausea, acidic taste",,unmapped
"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",,unmapped
"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool",,unmapped
abnormal appearing skin,Da bất thường,da bất thường; bất thường trên da,auto
abnormal breathing sounds,Tiếng thở bất thường,tiếng thở bất thường; khò khè,auto
abnormal involuntary movements,Cử động không tự chủ,cử động không tự chủ; vận động bất thường,auto
abnormal menstruation,Kinh nguyệt bất thường,kinh nguyệt bất thường; rối loạn kinh nguyệt,manual
abnormal movement of eyelid,Mí mắt co giật,mí mắt co giật; cử động mí mắt bất thường,auto
"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits",,unmapped
abusing alcohol,Lạm dụng rượu,lạm dụng rượu; uống rượu nhiều,auto
ache all over,Đau nhức toàn thân,đau nhức toàn thân; đau mỏi toàn thân,auto
acidity,Ợ chua,ợ chua; trào ngược; nóng rát dạ dày,manual
